asn	longtitude
19719	-117.7073745
11542	-81.509842
11544	-88.6447426667
11548	-120.32
19396	-76.27494
6973	-84.9657515
19394	-114.043564
19393	-115.2113725
19392	-118.326477
19390	-110.766418
19713	-71.511002
22266	-112.188526
19711	30.5153894
18516	-122.676208
6487	-90.513268
19717	-114.489813
6794	15.97798
6798	13.94572
6799	23.1712122
19973	-76.8191643333
19972	-91.7057904
272	-101.237966
15368	8.66814
19977	-85.7304191818
16256	36.078499
16255	-64.616669
16254	2.3488
16705	-70.3076653333
16704	-84.387978
12019	-94.6895904918
12018	-121.952911
12015	-94.6432455
12016	-118.0518645
12013	-80.099686
12012	-122.104980333
17259	-91.1164854
17252	-117.499963833
17253	-88.8373260769
17254	-86.883194
17256	-122.27166
10708	-104.62726
9528	127.179489125
9529	126.977829
9259	114.157692
9524	126.978029507
9525	126.977829
9526	126.969525238
9527	126.977829
9520	114.157692
9522	126.977829
10704	-42.9621230968
21617	-76.927261
21611	-87.804901
21612	-43.2075
3512	-84.3434571429
2688	-76.2245771
2685	-90.2305872143
2686	-33.5130916087
2687	22.0676922857
2683	37.6121791667
14625	-81.448219
14626	-88.5162775714
14623	-101.855171
14628	-121.442703
90	-122.248833
13053	30.5238
13056	41.52808075
13054	7.2947175
18703	-88.2747764643
18702	-117.999565
18701	-68.8970524118
18700	-118.102218667
18707	-99.543048
18705	-34.4223926486
18704	-89.2313211667
18709	-119.855985333
18708	-70.81665325
17829	147.027164467
17828	137.249522867
17825	76.635071
17820	77.4043541184
20258	-73.7224469
20257	-79.93769175
16237	4.95972
7181	-81.655647
7183	-77.342102
7184	-96.8356187292
12833	-9.16621
12831	18.493936125
12830	11.341635
12837	30.5238
15288	-89.84203845
12835	11.1780814286
12834	12.56553
15285	-85.7070845
8544	32.6809560128
8015	-93.4233293571
8546	-0.218995454545
15281	-71.059769
8011	-78.726181
8010	-77.3923542
7456	-75.606756
7453	-82.409241
7459	-97.1009010355
10884	-87.3472531667
