asn	neiborhoods
19557	 3356
16079	 6730
11542	 701 6467
12597	 8289
11541	 1239 701
11875	 1833
11544	 5006
11548	 6259 3561 1239
11549	 3561
19556	 3356
19398	 1239
19396	 1239
19394	 701
19393	 14751
19392	 3561
19390	 701
16073	 3259
22266	 701
16071	 3215
16077	 3215
16076	 1267
16075	 1299
16074	 13127
6794	 5391
6795	 8574 8359 16118
6793	 6820 12375 8728 1299 20542 13170
6790	 20742 8437 3340 15629 6722 12589 20783 13162 1755 8448
6298	 6172
6798	 6461
6799	 15536 3260 8396 12713 8573 16222 16234 3300
11547	 5696
270	 297 12819
271	 6453 6539 6509 3633
16251	 1653
15368	 3320
16709	 701
19976	 3561
16255	 12885
19974	 209
16705	 701
16704	 701
16707	 4323
16702	 701
12019	 2548
12018	 701
12015	 701 1239
12014	 1239
12016	 209 7018
12013	 6198
12012	 18997
15483	 3300
17250	 6503 6453
17251	 209
17252	 3356
17253	 7018
17254	 701
17255	 18579
17256	 5696 3549
10708	 2914
9528	 4861
9529	 3786
9258	 7474
9259	 9729
9524	 4670
9525	 3786
9526	 9318 3786 4766
10700	 1 19933
9252	 2764
9522	 3786 4766
10704	 11432 4230
15957	 4513
18517	 2914
21617	 701
21616	 701
21611	 701
4644	 4637
21612	 4230
18995	 15021 3967
16647	 3549
3512	 3549
3510	 2513
2688	 8153 7018
2685	 209 16807 2497 701 7018 2687 2693
2686	 7018 12980 3339 15681 15361 5623 19232 1299 20596 8499 15466 13167 20537 18775 16229 16364 9041 15776 4546 12763 6461 5425 6072
2687	 9906 10095 2497 9653 7018 19239 2685 2516 9468
11952	 701
2683	 5523 5568 2643 8810
14624	 174 11800
14625	 1239
14626	 1239
14621	 701
14623	 2914
14628	 1
14629	 1 5696
90	 1 701
93	 9126
13058	 9126
13052	 8297
13053	 5551 15929 15772
13050	 3215
13056	 8342
13057	 3292
13054	 3320
18703	 701
18702	 3967
18701	 209 7018
18700	 1 701
18707	 209
18706	 3356
18705	 577
18704	 11853
1376	 13761
18709	 701 1239
18708	 3561
16234	 6799
17829	 1221
17828	 1221
13363	 1239
17825	 2706
17821	 9942
17820	 17175
20258	 3561
20259	 1239
20253	 7018
20250	 3561
20256	 7993
20257	 2711
16237	 6461
16883	 6380 16913
16236	 3215
16379	 12874
16880	 701
7181	 1784
7182	 3356
7183	 701
7184	 6503
12833	 12353
12832	 9057
16392	 3549
12830	 9057
15289	 3549
15288	 701
12835	 3269
12834	 702
15285	 3549
15284	 701
8015	 19550 13502 18951 3908 701
8546	 5378
15281	 5696
8012	 701 10910
8543	 6667
8010	 3356 19508
7456	 3602 6453
7454	 5769
7452	 1239
625	 8062 721
7450	 1747 11537
7459	 3967 14698 1239
19335	 701
4596	 701
22006	 701
13603	 701 6347
4733	 4689
2746	 1913 724
17662	 7474 9837
10884	 11853 701
10886	 16692 7847 11537 6629
10887	 5696
10881	 8167 11415 11751 19723
10882	 2548 1239
13607	 1239
12877	 1 12472 1755
8291	 2118
15006	 701
15005	 701 7018
15551	 3215
12876	 3257
4738	 1851 7474 7570
8294	 8990
15001	 3967
15000	 17311
19336	 1239
22010	 6453
398	 721
22016	 3908
22017	 11853
22014	 1
22015	 1
4729	 2513
4728	 703
4725	 9601 9352 9614 9356 9368 17503 4723 4777 9997 9618 7523 2503 2512
13615	 2914
13616	 15290
13617	 6172
4721	 2516
13611	 701
4723	 4725
15558	 6818
11288	 5778 3561
16066	 6846
19700	 3967
16061	 1680
16062	 6906
11280	 3561 701 4565
11283	 6993
11282	 6347
19708	 6222
16069	 8428
11286	 701 7018
17621	 9929
17620	 9929 9810
17622	 9929
17624	 4637
3748	 3786
3749	 1239
3746	 1239
3745	 3320 3209
3742	 19506 6461 3549 3699
3741	 14516 11845 21739 7018 14115 15159 14988 16800 7154 701 20086 10474 10798 8297 6180 17148 2516 11908
4621	 17479 9903 3839 9411 9562 4651 9741 9546 9551
13533	 18994
13532	 4565
4624	 4058
13534	 701
13537	 3561 701
13536	 209 3931
4628	 151 17560 9827 7634 4774 17423 7473
11019	 2548
11757	 7018
11755	 701 6347 12179
11754	 3561 701 17285 3462
11753	 701
11752	 13761
11751	 10881
11759	 701
19560	 1239
16393	 701
19562	 701
19563	 701
16396	 3549
16397	 13353 20121 15180
16394	 6347
16395	 3549
19569	 701 703
16398	 3561
16399	 3549
14536	 8011
20886	 9057
20733	 16181
20732	 2856
20734	 8918
20737	 5378
20736	 702
20739	 9154
14530	 1239
20889	 3257
20888	 1755
14163	 2914
9632	 9318
17657	 9653
14532	 1239
13289	 5430
13288	 8212
13287	 12359 3352
13286	 12761
175	 7170
174	 6494 8425 21941 7861 18983 7056 11800 20094 701 16760 13544 10778 6453 10476 15649 15648 15646 20114 17510 8013 4550 6283 19912 2521 6784 834 16814 3403 14377 1 3976 19667 4966 1290 10937 9425 7884 286 14624 10758 14103 2914 21657 19251 209 16898 19724 1239 17509 15069 19908 12445 14318 15420 71 17526 7445 13750 15462 8355 15650 15651 7567 19100 18942 21538 6299 12006 20501 2493 20069 11796 4058 19771 13874 14573 12264 10617 4472 16257 2516 19752 2149 376
173	 4694 2511 703
13282	 3320
13280	 702
17888	 7473
14167	 3549
11994	 18805
21930	 7018
21933	 12181
21936	 13768
21938	 1239
21939	 1239
14164	 5676
202	 2497
20089	 701
20088	 701
20087	 4323
20086	 3741
20083	 3549
20082	 1239 10738
20081	 1239
20080	 3681 11537 4559
10390	 13791 1791
10395	 3561
10396	 1 11367 1239
10397	 701 11676 1239
10399	 1239
7219	 1785
16934	 701
16935	 10826 10830
16930	 3967
16931	 1239
7212	 1239
7213	 3967
17388	 6461 5673 18993 15870
7216	 715
12226	 577
6216	 8001
12224	 209
12225	 2914 701
12222	 3561 701 1 4969 6172 8001
12223	 4039 7018 14929 19343
12220	 3549
6210	 12213
19977	 16783
12228	 1
12229	 4323
15708	 3339
